radius,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10
47,17948684.72657939,1333098.8633926967,11562122.440970445,4590349.14387488,3369599.413296865,8050588.404636329,11457227.662234139,11565647.509118173,14210201.732364677,1183118.9020146632
48,18438607.060264684,1368780.1871768588,11856771.271998601,4710391.8607810065,3461645.8477985486,8252979.4850471,11751935.776931362,11864690.381308006,14576585.292038016,1214111.4272369759
49,18988361.65769205,1409050.6260154343,12187874.241903573,4844256.822321687,3564229.879613119,8481041.0002384,12083702.550226811,12200993.049292343,14988135.582730383,1248517.8010016542
50,19563160.5481398,1451133.942926722,12532221.77078234,4983877.551095168,3671808.889649151,8717642.967292745,12429597.45471979,12551196.579992596,15416248.49125424,1284373.1136334627
51,20031359.945001576,1485548.5627417641,12810829.14248254,5097083.618028157,3759140.470199143,8909538.554854656,12710166.04744881,12834922.428944133,15762888.175471036,1313579.6647307535
52,20536517.76583927,1522708.1236473506,13110231.057825908,5218730.094109413,3853888.0182922627,9115401.826429693,13012180.462007131,13140158.492429456,16135384.151243094,1345064.833762931
53,20999393.847793445,1556989.3900035615,13384322.801529659,5329889.790620212,3940162.8981759236,9303585.220535986,13289218.251832938,13419967.14380748,16476924.114662977,1373656.5728488397
54,21505741.77961304,1594424.720365984,13682167.80419564,5450734.074673547,4035052.5640096315,9508014.7619723,13590563.588821715,13724168.343589557,16848468.7604502,1404596.2494171762
55,21908005.377685316,1623725.8274934394,13917090.265575169,5546101.627928146,4110827.5000346666,9668795.02658035,13828843.409368383,13964453.791420652,17142189.96868634,1429023.8599701945
56,22443651.773814246,1662939.655677657,14229744.359787913,5672842.284923026,4211322.279016863,9883137.126960898,14145926.589761572,14284467.43087992,17533232.571561113,1461231.0222376625
57,22887270.046687108,1695343.380918944,14487026.535768064,5777170.20614735,4294919.775608513,10058666.977704942,14407245.120975431,14548361.452728782,17856019.96542631,1487674.1195651582
58,23327362.983889665,1727105.383416242,14740341.138049064,5879997.178515643,4378204.139346278,10231348.381667184,14665037.750659488,14808376.084990948,18174875.07941535,1513743.7035317293
59,23769874.155348595,1758970.2727024707,14993673.329129526,5982843.4526939895,4462374.159606279,10403365.974054962,14923012.160711553,15068916.65902435,18494235.375576273,1539511.013736489
60,24210766.06878664,1790670.1951562476,15245762.77979535,6085220.475051996,4545486.967373741,10574190.890730746,15180701.619073756,15329214.560763914,18812966.72242942,1565229.8686760876
61,24644644.6364572,1821404.7961643343,15490394.10102253,6184648.713251982,4627817.094372843,10739189.70290746,15431290.705657981,15582720.590139922,19123518.507610355,1590073.5241457599
62,25027881.392751776,1848573.3389232042,15704800.190988736,6271979.056554263,4700832.636547382,10882582.374523442,15651158.194821881,15805208.547997896,19396618.84881274,1611821.4115487821
63,25425534.337082162,1876581.6805989996,15927217.480275782,6361730.136193385,4776021.049097048,11030899.354835095,15879864.07031761,16036755.923584828,19680120.83703564,1634310.5927408729
64,25843919.0053872,1905924.0612770547,16158750.925975174,6454912.259329237,4855547.776341201,11184430.166576464,16118297.64423651,16278271.839849168,19976255.088254943,1657930.9341991222
65,26170425.534984637,1928517.5337846268,16337119.560603818,6526757.754036286,4918049.302632061,11301938.883975903,16302459.073426703,16464906.914293025,20205829.801916752,1676210.033720706
66,26579494.772437207,1957118.7677025308,16559744.13127053,6616408.77843308,4995891.095672522,11447867.041378746,16533074.184362814,16698877.221043007,20492755.947994996,1699494.7454092042
67,26894677.115812413,1979483.7988874482,16731024.31260387,6685524.352733425,5055925.399694075,11559830.901205374,16711732.70920267,16879886.247938745,20714583.663265485,1717272.9721940355
68,27262204.821124874,2004912.099571454,16926290.54855562,6764734.375999152,5126089.931418783,11686333.244467612,16916627.776362374,17087480.58563027,20969172.08021896,1737911.925249656
69,27562202.75588078,2025769.504047535,17084624.783100214,6829374.795520398,5183164.6321466,11788226.638734937,17083628.56998184,17257152.061799094,21176622.422269613,1754735.7291360653
70,27902787.89565356,2049722.9705464402,17263579.501050193,6902799.280675658,5248020.253101927,11903314.426183192,17273194.983682767,17450168.028771065,21411938.873390123,1774093.3570576322
71,28174044.86260391,2068831.5020783106,17403702.864758782,6960492.59716671,5299195.964497345,11992681.088675417,17422731.104745664,17602361.205321833,21597333.77790947,1789149.9322592793
72,28429964.845982656,2086447.671709236,17533196.541740328,7013822.10229914,5346929.180289373,12075254.324087756,17561321.87333163,17743603.226818714,21769334.01958807,1803518.710285065
73,28719448.066160094,2106907.080054386,17680575.434979327,7074395.935964826,5401085.725958432,12168554.696875967,17719952.90790777,17905015.26808511,21965828.387872834,1819685.5563805837
74,28984931.22328628,2125671.1502326424,17814286.803333566,7130065.203823342,5450806.280126917,12252795.195026763,17864403.240885932,18052169.638943788,22145024.478386644,1834686.8329879555
75,29218410.953245975,2141791.089192191,17929058.498606343,7178299.781993361,5493807.9946350325,12324801.368431648,17988603.35465878,18179203.631138206,22299228.978243623,1848023.7877354263
76,29445962.857561633,2157681.3401624733,18041133.0604861,7225738.984937625,5536586.463951473,12394729.785582414,18110330.757872555,18304071.84412411,22450518.165444784,1861014.004267419
77,29674209.68576137,2173551.744226557,18153021.57886494,7273365.936485111,5579775.69913862,12464102.72155103,18232875.74523434,18429635.303858835,22602527.2022427,1874138.1593439758
