radius,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10
27,7502144.024291498,540119.6842105263,4713747.834008097,1868979.4939271254,1388603.2591093117,3274572.36437247,4677304.655870446,4706964.48582996,5811259.340080972,485497.024291498
28,8011696.534412957,576149.9392712552,5034178.858299594,1994448.344129555,1484482.910931174,3494736.429149797,4992894.700404858,5025760.117408906,6207081.425101215,518636.8178137652
29,8463355.599190284,608194.9433198381,5318003.708502024,2105747.4129554657,1569061.5101214573,3689633.4048582995,5272223.578947369,5308107.137651821,6557829.696356276,547886.4412955465
30,9055560.639676113,650277.7813765182,5689629.044534412,2251408.7449392714,1680501.8421052631,3944246.6639676113,5638491.781376517,5677972.117408906,7017361.465587044,586119.8582995951
31,9389164.453441296,674007.2753036438,5898861.51417004,2333341.376518219,1743597.5748987852,4087577.1538461535,5844858.238866396,5886395.040485829,7276188.170040486,607681.5060728745
32,9998649.78137652,717366.914979757,6280703.9797570845,2483262.3360323887,1858420.0728744941,4349150.340080971,6221343.570850202,6266705.344129555,7748816.663967611,646841.2834008097
33,10493663.05263158,752840.2672064777,6590686.963562753,2605004.012145749,1951574.975708502,4561542.214574899,6527254.372469635,6575435.975708502,8132536.299595142,678636.3603238866
34,10998926.05263158,789044.3846153845,6906874.659919029,2728962.4331983803,2046677.6801619434,4778229.032388664,6839516.582995952,6891034.170040485,8524158.522267208,710847.076923077
35,11529513.190283401,827207.1700404859,7238737.1336032385,2859443.4089068826,2146235.6072874493,5005768.663967612,7167502.469635627,7222668.449392713,8935294.076923078,744959.4129554656
36,12012089.870445345,861949.7570850203,7539842.27125506,2977740.437246964,2236701.0769230765,5211814.562753036,7465239.024291499,7524080.562753038,9308902.530364374,775773.7975708502
37,12537243.809716599,899868.048582996,7867605.396761134,3106969.060728745,2335093.5829959516,5436754.408906883,7789761.246963563,7852321.8097166,9715381.834008098,809416.1619433197
38,13018176.94736842,934803.5141700405,8167583.145748989,3225673.578947368,2425287.3927125502,5642588.412955465,8087573.8663967615,8153321.0,10087420.093117408,840341.9271255061
39,13586717.692307692,975987.1578947369,8521545.153846154,3365689.8178137653,2531604.2186234817,5885512.145748989,8438305.83805668,8508309.882591093,10526525.753036438,876836.7206477732
40,14158904.113360323,1017477.7773279352,8877338.14979757,3506700.331983805,2638613.777327935,6129878.39271255,8791599.562753037,8865732.83805668,10968136.117408905,913641.2064777327
41,14556926.643724695,1046493.7732793522,9125309.32388664,3605907.8178137653,2712904.615384615,6300521.570850204,9038527.562753037,9115217.157894738,11275554.631578948,939476.0647773279
42,15167072.105263157,1091013.4008097164,9504429.75708502,3756583.9919028343,2826765.437246964,6560809.805668017,9415333.453441296,9496399.489878543,11746077.761133602,978839.5870445345
43,15649010.384615386,1126269.4251012146,9803584.37651822,3875312.95951417,2916739.20242915,6766073.323886639,9712485.939271256,9797251.98380567,12117529.234817816,1009784.3684210526
44,16228121.417004049,1168830.3846153847,10163791.846153846,4018955.858299595,3025104.344129555,7013387.080971659,10070968.368421052,10159597.417004049,12564007.74493927,1047053.3927125505
45,16701513.275303643,1203733.2510121458,10457597.481781377,4136171.6801619437,3113328.619433198,7215572.692307692,10363825.910931174,10455747.477732794,12928613.388663966,1077606.983805668
46,17221877.85020243,1242433.923076923,10779775.279352227,4264954.781376518,3210873.5465587047,7436606.068825911,10685533.736842105,10781098.263157895,13329271.020242916,1111061.902834008
47,17711544.854251012,1278942.2995951418,11082510.37651822,4386068.923076923,3302390.340080972,7644702.999999999,10988092.255060729,11087172.060728746,13705506.425101215,1142275.6275303646
48,18193336.437246963,1315007.8704453441,11380434.37651822,4505523.222672065,3392459.1862348174,7849417.765182186,11286502.526315792,11388739.020242915,14075577.866396759,1173242.141700405
49,18734765.522267208,1355411.850202429,11713690.465587046,4638802.295546559,3493581.874493927,8078473.259109312,11620119.923076922,11725923.311740892,14489859.24291498,1207669.6032388664
50,19301043.340080973,1397921.1943319838,12061825.36842105,4778364.862348178,3599936.7327935225,8317582.886639676,11969352.331983805,12078711.748987854,14922594.477732794,1243501.5465587045
51,19762783.70445344,1432726.2631578948,12344886.854251012,4892225.684210526,3686457.7004048587,8512227.218623482,12254016.611336032,12366005.696356276,15274619.550607288,1272848.9676113357
52,20261420.919028345,1470451.6761133603,12650104.923076924,5014842.105263158,3780332.5020242915,8721837.29554656,12561280.279352225,12676322.821862347,15654079.558704453,1304562.5465587045
53,20719099.967611335,1504851.971659919,12929243.639676113,5126874.655870446,3866687.7570850197,8913550.417004049,12842494.477732792,12959981.959514169,16001285.384615384,1333355.7813765183
